date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Jan 5, 2019",MIL (27-11),TOR (29-12),IND (26-12),PHI (26-14),BOS (23-15),MIA (19-18),BRK (19-21),CHO (18-20),DET (17-20),ORL (17-21),WAS (15-24),ATL (11-27),CHI (10-29) T13,NYK (10-29) T13,CLE (8-32),2019
"Jan 6, 2019",TOR (30-12),MIL (27-11),IND (26-13),PHI (26-14),BOS (23-15),MIA (19-19),BRK (20-21),CHO (19-20),DET (17-20),ORL (17-22),WAS (16-24),ATL (12-27),NYK (10-29),CHI (10-30),CLE (8-32),2019
"Jan 7, 2019",MIL (28-11),TOR (30-12),IND (26-13),PHI (26-14),BOS (24-15),MIA (19-19),CHO (19-20),BRK (20-22),DET (17-21),ORL (17-23),WAS (16-24),ATL (12-27),CHI (10-30) T13,NYK (10-30) T13,CLE (8-32),2019
"Jan 8, 2019",TOR (31-12),MIL (28-11),IND (27-13),PHI (27-14),BOS (24-15),MIA (19-20),BRK (20-22),CHO (19-21),DET (17-21),ORL (17-23),WAS (16-25),ATL (12-28),CHI (10-30),NYK (10-31),CLE (8-33),2019
"Jan 9, 2019",MIL (29-11),TOR (31-12),IND (27-14),PHI (27-15),BOS (25-15),BRK (21-22),MIA (19-20),CHO (19-21),DET (17-22),ORL (17-24),WAS (17-25),ATL (12-29),CHI (10-31) T13,NYK (10-31) T13,CLE (8-34),2019
"Jan 10, 2019",MIL (29-11),TOR (31-12),IND (27-14),PHI (27-15),BOS (25-16),MIA (20-20),BRK (21-22),CHO (19-21),DET (17-23),ORL (17-24),WAS (17-25),ATL (12-29),CHI (10-31) T13,NYK (10-31) T13,CLE (8-34),2019
"Jan 11, 2019",TOR (32-12),MIL (29-12),IND (28-14),PHI (27-16),BOS (25-16),MIA (20-20),BRK (21-23),CHO (19-22),DET (17-23),WAS (18-25),ORL (17-24),ATL (13-29),CHI (10-32) T13,NYK (10-32) T13,CLE (8-35),2019
"Jan 12, 2019",TOR (32-12),MIL (29-12),IND (28-14),PHI (27-16),BOS (25-17),MIA (21-20),BRK (21-23),CHO (19-23),DET (18-23),ORL (18-24),WAS (18-25),ATL (13-29),NYK (10-32),CHI (10-33),CLE (8-35),2019
"Jan 13, 2019",TOR (33-12),MIL (30-12),IND (28-14),PHI (28-16),BOS (25-17),MIA (21-20),BRK (21-23),CHO (19-23),ORL (19-24),DET (18-23),WAS (18-26),ATL (13-30),CHI (10-33) T13,NYK (10-33) T13,CLE (9-35),2019
"Jan 14, 2019",TOR (33-12),MIL (30-12),IND (28-14),PHI (28-16),BOS (25-18),MIA (21-20),BRK (22-23),CHO (20-23),ORL (19-24),DET (18-24),WAS (18-26),ATL (13-30),CHI (10-33) T13,NYK (10-33) T13,CLE (9-35),2019
"Jan 15, 2019",TOR (33-12),MIL (31-12),IND (29-14),PHI (29-16),BOS (25-18),MIA (21-21),BRK (22-23),CHO (20-23),ORL (19-24),DET (18-24),WAS (18-26),ATL (14-30),NYK (10-33),CHI (10-34),CLE (9-35),2019
"Jan 16, 2019",MIL (32-12),TOR (33-13),IND (29-14),PHI (29-16),BOS (26-18),BRK (23-23) T6,MIA (21-21) T6,CHO (20-23),DET (19-24),ORL (19-25),WAS (18-26),ATL (14-30),NYK (10-33),CHI (10-34),CLE (9-36),2019
"Jan 17, 2019",MIL (32-12),TOR (34-13),IND (29-15),PHI (30-16),BOS (26-18),BRK (23-23) T6,MIA (21-21) T6,CHO (21-23),DET (19-24),ORL (19-25),WAS (19-26),ATL (14-30),NYK (10-34),CHI (10-35),CLE (9-36),2019
"Jan 18, 2019",MIL (32-12),TOR (34-13),IND (29-15),PHI (30-16),BOS (27-18),BRK (24-23),MIA (21-22),CHO (21-23),DET (20-24),ORL (19-26) T10,WAS (19-26) T10,ATL (14-30),NYK (10-34),CHI (10-35),CLE (9-37),2019
"Jan 19, 2019",MIL (33-12),TOR (35-13),IND (30-15),PHI (30-17),BOS (28-18),BRK (24-23),MIA (22-22),CHO (22-23),DET (20-25),WAS (19-26),ORL (19-27),ATL (14-31),NYK (10-34),CHI (10-36),CLE (9-38),2019
"Jan 20, 2019",MIL (33-12),TOR (35-13),IND (31-15),PHI (30-17),BOS (28-18),BRK (24-23),MIA (22-22),CHO (22-24),DET (20-25),WAS (19-26),ORL (19-27),ATL (14-31),NYK (10-34),CHI (10-36),CLE (9-38),2019
"Jan 21, 2019",MIL (34-12),TOR (35-13),IND (31-15),PHI (31-17),BOS (29-18),BRK (25-23),MIA (22-23),CHO (22-24),DET (20-26) T9,WAS (20-26) T9,ORL (20-27),ATL (14-32),CHI (11-36),NYK (10-35),CLE (9-39),2019
"Jan 22, 2019",MIL (34-12),TOR (36-13),IND (31-15),PHI (31-17),BOS (29-18),BRK (25-23),MIA (22-23),CHO (22-24),DET (20-26) T9,WAS (20-26) T9,ORL (20-27),ATL (14-32),CHI (11-36),NYK (10-35),CLE (9-39),2019
"Jan 23, 2019",MIL (34-12),TOR (36-14),IND (32-15),PHI (32-17),BOS (30-18),BRK (26-23),CHO (23-24),MIA (22-24),DET (21-26),WAS (20-26),ORL (20-28),ATL (15-32),CHI (11-37),NYK (10-36),CLE (9-40),2019
"Jan 24, 2019",MIL (34-12),TOR (36-14),IND (32-15),PHI (32-17),BOS (30-18),BRK (26-23),CHO (23-24),MIA (22-24),DET (21-26),WAS (20-27),ORL (20-28),ATL (15-32),CHI (11-37),NYK (10-36),CLE (9-40),2019
"Jan 25, 2019",MIL (35-12),TOR (36-15),IND (32-15),PHI (32-17),BOS (30-18),BRK (27-23),MIA (23-24),CHO (23-25),DET (21-27) T9,WAS (21-27) T9,ORL (20-29),ATL (15-32),CHI (11-38),NYK (10-37),CLE (9-41),2019
"Jan 26, 2019",MIL (35-12),TOR (36-15),IND (32-16),PHI (32-18),BOS (30-19),BRK (27-23),MIA (23-24),CHO (23-25),DET (21-27) T9,WAS (21-27) T9,ORL (20-29),ATL (15-33),CHI (11-38),NYK (10-37),CLE (9-41),2019
"Jan 27, 2019",MIL (35-13),TOR (37-15),IND (32-16),PHI (32-18),BOS (30-19),BRK (27-23),MIA (24-24),CHO (23-25),DET (21-27),WAS (21-28),ORL (20-30),ATL (15-33),CHI (11-39),NYK (10-38),CLE (10-41),2019
"Jan 28, 2019",MIL (35-13),TOR (37-15),IND (32-17),PHI (32-18),BOS (31-19),BRK (27-24),MIA (24-24),CHO (24-25),DET (21-27),WAS (21-28),ORL (20-30),ATL (16-33),CHI (11-39),NYK (10-39),CLE (10-41),2019
"Jan 29, 2019",MIL (36-13),TOR (37-15),IND (32-17),PHI (33-18),BOS (31-19),BRK (28-24),MIA (24-24),CHO (24-25),DET (21-28),WAS (21-29),ORL (20-31),ATL (16-33),CHI (11-40),CLE (11-41),NYK (10-39),2019
"Jan 30, 2019",MIL (36-13),TOR (37-15),PHI (33-18),IND (32-18),BOS (32-19),BRK (28-24),MIA (24-25),CHO (24-26),WAS (22-29),DET (21-28),ORL (20-31),ATL (16-34),CHI (12-40),CLE (11-41),NYK (10-40),2019
"Jan 31, 2019",MIL (37-13),TOR (37-16),PHI (34-18),BOS (32-19) T4,IND (32-19) T4,BRK (28-25),MIA (24-25),CHO (24-26),DET (22-28),WAS (22-29),ORL (21-31),ATL (16-34),CHI (12-40),CLE (11-41),NYK (10-40),2019
"Feb 1, 2019",MIL (37-13),TOR (37-16),PHI (34-18),BOS (33-19),IND (32-19),BRK (28-25),CHO (25-26),MIA (24-26),DET (22-28),WAS (22-29),ORL (21-31),ATL (16-35),CHI (12-40),CLE (11-41),NYK (10-41),2019
"Feb 2, 2019",MIL (38-13),TOR (37-16),PHI (34-19),BOS (33-19) T4,IND (33-19) T4,BRK (28-26),CHO (26-26),MIA (24-27),DET (22-29),WAS (22-30),ORL (22-31),ATL (17-35),CHI (12-41),CLE (11-42),NYK (10-41),2019
"Feb 3, 2019",MIL (38-13),TOR (38-16),BOS (34-19) T3,PHI (34-19) T3,IND (33-19),BRK (28-26),CHO (26-26),MIA (24-27),DET (22-29),WAS (22-30),ORL (22-31),ATL (17-35),CHI (12-41),CLE (11-42),NYK (10-42),2019
"Feb 4, 2019",MIL (39-13),TOR (38-16),BOS (34-19) T3,IND (34-19) T3,PHI (34-19) T3,BRK (28-27),CHO (26-26),MIA (24-27),DET (23-29),ORL (22-31) T10,WAS (22-31) T10,ATL (18-35),CHI (12-41),CLE (11-42),NYK (10-42),2019
"Feb 5, 2019",MIL (39-13),TOR (39-16),BOS (35-19) T3,IND (35-19) T3,PHI (34-20),BRK (28-27),CHO (26-27),MIA (25-27),DET (24-29),WAS (22-31),ORL (22-32),ATL (18-35),CHI (12-41),CLE (11-43),NYK (10-43),2019
"Feb 6, 2019",MIL (40-13),TOR (39-16),BOS (35-19) T3,IND (35-19) T3,PHI (34-20),BRK (29-27),CHO (26-28),MIA (25-27),DET (24-29),ORL (22-32) T10,WAS (22-32) T10,ATL (18-35),CHI (12-42),CLE (11-43),NYK (10-43),2019
"Feb 7, 2019",MIL (40-13),TOR (40-16),IND (36-19),BOS (35-20),PHI (34-20),BRK (29-27),CHO (26-28),MIA (25-27),DET (24-29),ORL (23-32),WAS (22-32),ATL (18-36),CHI (12-42),CLE (11-43),NYK (10-43),2019
"Feb 8, 2019",MIL (41-13),TOR (40-16),IND (36-19),BOS (35-20) T4,PHI (35-20) T4,BRK (29-28),CHO (26-28),MIA (25-28),DET (25-29),ORL (23-32) T10,WAS (23-32) T10,ATL (18-36),CHI (13-42),CLE (11-44),NYK (10-44),2019
"Feb 9, 2019",MIL (41-14),TOR (41-16),IND (37-19),PHI (35-20),BOS (35-21),BRK (29-28),CHO (27-28),MIA (25-28),DET (25-29),ORL (24-32) T10,WAS (24-32) T10,ATL (18-37),CHI (13-43),CLE (11-45),NYK (10-45),2019
"Feb 10, 2019",MIL (41-14),TOR (41-16),IND (37-19),PHI (36-20),BOS (35-21),BRK (29-28),CHO (27-28),DET (25-29) T8,MIA (25-29) T8,ORL (25-32),WAS (24-32),ATL (18-38),CHI (13-43),CLE (11-45),NYK (10-45),2019
"Feb 11, 2019",MIL (42-14),TOR (42-16),IND (38-19),PHI (36-20),BOS (35-21),BRK (29-29),CHO (27-29),DET (26-29),MIA (25-30),ORL (25-32),WAS (24-33),ATL (18-38),CHI (13-44),CLE (12-45),NYK (10-46),2019
"Feb 12, 2019",MIL (42-14),TOR (42-16),IND (38-19),BOS (36-21) T4,PHI (36-21) T4,BRK (29-29),CHO (27-29),DET (26-29),MIA (25-30),ORL (26-32),WAS (24-33),ATL (19-38),CHI (13-44),CLE (12-45),NYK (10-46),2019
"Feb 13, 2019",MIL (43-14),TOR (43-16),IND (38-20),BOS (37-21) T4,PHI (37-21) T4,BRK (30-29),CHO (27-29),DET (26-30) T8,MIA (26-30) T8,ORL (26-32),WAS (24-34),ATL (19-38),CHI (14-44),CLE (12-46),NYK (10-47),2019
"Feb 14, 2019",MIL (43-14),TOR (43-16),IND (38-20),BOS (37-21) T4,PHI (37-21) T4,BRK (30-29),CHO (27-30),DET (26-30) T8,MIA (26-30) T8,ORL (27-32),WAS (24-34),ATL (19-39),CHI (14-44),CLE (12-46),NYK (11-47),2019
"Feb 21, 2019",MIL (44-14),TOR (43-16),IND (38-20),PHI (38-21),BOS (37-22),BRK (30-30),CHO (27-30),DET (26-30),ORL (27-32),MIA (26-31),WAS (24-34),ATL (19-39),CHI (14-44),CLE (13-46),NYK (11-47),2019
"Feb 22, 2019",MIL (44-14),TOR (44-16),IND (39-20),PHI (38-21),BOS (37-22),BRK (30-30),CHO (28-30),DET (27-30),MIA (26-31),ORL (27-33),WAS (24-35),ATL (19-40),CHI (15-44),CLE (13-46),NYK (11-48),2019
"Feb 23, 2019",MIL (45-14),TOR (44-16),IND (40-20),PHI (38-22),BOS (37-23),BRK (31-30),DET (28-30),CHO (28-31),ORL (27-33),MIA (26-32),WAS (24-36),ATL (20-40),CHI (16-44),CLE (14-46),NYK (11-48),2019
"Feb 24, 2019",MIL (45-14),TOR (44-17),IND (40-20),PHI (38-22),BOS (37-23),BRK (31-30),DET (28-30),CHO (28-31),ORL (28-33),MIA (26-32),WAS (24-36),ATL (20-40),CHI (16-44),CLE (14-46),NYK (12-48),2019
"Feb 25, 2019",MIL (46-14),TOR (44-17),IND (40-21),PHI (39-22),BOS (37-23),BRK (32-30),DET (29-30),CHO (28-32),ORL (28-33),MIA (26-33),WAS (24-36),ATL (20-41),CHI (16-45),CLE (14-47),NYK (12-48),2019
"Feb 26, 2019",MIL (46-14),TOR (45-17),IND (40-21),PHI (39-22),BOS (37-24),BRK (32-30),DET (29-30),CHO (28-32),ORL (28-34),MIA (26-33),WAS (24-36),ATL (20-41),CHI (16-45),CLE (14-47),NYK (13-48),2019
"Feb 27, 2019",MIL (47-14),TOR (45-17),IND (40-22),PHI (39-22),BOS (37-25),BRK (32-31),DET (29-31),CHO (28-33),ORL (28-34),MIA (27-33),WAS (25-36),ATL (21-41),CHI (17-45),CLE (14-47),NYK (13-48),2019
"Feb 28, 2019",MIL (47-14),TOR (45-17),IND (41-22),PHI (40-22),BOS (37-25),BRK (32-31),DET (29-31),ORL (29-34),CHO (28-33),MIA (27-34),WAS (25-36),ATL (21-41),CHI (17-45),CLE (15-47),NYK (13-49),2019
"Mar 1, 2019",MIL (48-14),TOR (46-17),IND (41-22),PHI (40-22),BOS (38-25),BRK (32-32),DET (29-31),CHO (29-33),ORL (29-34),MIA (27-34),WAS (25-37),ATL (21-42),CHI (18-45),CLE (15-47),NYK (13-49),2019
"Mar 2, 2019",MIL (48-15),TOR (46-17),IND (41-23),PHI (40-23),BOS (38-25),BRK (32-33),DET (30-31),ORL (30-34),CHO (29-33),MIA (28-34),WAS (25-37),ATL (21-42),CHI (18-45),CLE (15-48),NYK (13-49),2019
"Mar 3, 2019",MIL (48-15),TOR (46-18),IND (41-23),PHI (40-23),BOS (38-26),DET (31-31),BRK (32-33),ORL (30-35),CHO (29-34),MIA (28-34),WAS (26-37),ATL (22-42),CHI (18-46),CLE (16-48),NYK (13-50),2019
"Mar 4, 2019",MIL (48-16),TOR (46-18),IND (41-23),PHI (40-23),BOS (38-26),BRK (33-33) T6,DET (31-31) T6,ORL (30-35),CHO (29-34) T9,MIA (29-34) T9,WAS (26-37),ATL (22-43),CHI (18-46),CLE (16-48),NYK (13-51),2019
"Mar 5, 2019",MIL (48-16),TOR (46-19),IND (42-23),PHI (41-23),BOS (39-26),BRK (33-33) T6,DET (31-31) T6,CHO (29-34) T8,MIA (29-34) T8,ORL (30-36),WAS (26-37),ATL (22-43),CHI (18-47),CLE (16-48),NYK (13-51),2019
"Mar 6, 2019",MIL (48-16),TOR (46-19),IND (42-23),PHI (41-24),BOS (40-26),DET (32-31),BRK (34-33),MIA (30-34),ORL (30-36),CHO (29-35),WAS (27-37),ATL (22-44),CHI (19-47),CLE (16-49),NYK (13-52),2019
"Mar 7, 2019",MIL (49-16),TOR (46-19),IND (42-24),PHI (41-24),BOS (40-26),DET (32-31),BRK (34-33),MIA (30-34),ORL (30-36),CHO (29-35),WAS (27-37),ATL (22-44),CHI (19-47),CLE (16-49),NYK (13-52),2019
"Mar 8, 2019",MIL (49-16),TOR (47-19),IND (42-24),PHI (41-25),BOS (40-26),DET (33-31),BRK (34-33),MIA (31-34),ORL (31-36),CHO (30-35),WAS (27-38),ATL (22-44),CHI (19-48),CLE (16-50),NYK (13-52),2019
"Mar 9, 2019",MIL (50-16),TOR (47-19),IND (42-24),PHI (41-25),BOS (41-26),DET (33-31),BRK (35-33),MIA (31-34),ORL (31-36),CHO (30-36),WAS (27-39),ATL (22-45),CHI (19-48),CLE (16-50),NYK (13-53),2019
"Mar 10, 2019",MIL (50-17),TOR (48-19),IND (42-25) T3,PHI (42-25) T3,BOS (41-26),DET (34-31),BRK (35-33),MIA (31-35),ORL (31-37),CHO (30-36),WAS (27-39),ATL (23-45),CHI (19-49),CLE (16-50),NYK (13-54),2019
"Mar 11, 2019",MIL (50-17),TOR (48-20),IND (42-25) T3,PHI (42-25) T3,BOS (41-27),BRK (36-33),DET (34-32),MIA (31-35),ORL (31-37),CHO (30-37),WAS (28-39),ATL (23-45),CHI (19-49),CLE (17-50),NYK (13-54),2019
"Mar 12, 2019",MIL (51-17),TOR (48-20),IND (43-25) T3,PHI (43-25) T3,BOS (41-27),BRK (36-33),DET (34-32),MIA (31-35),ORL (31-37),CHO (30-37),WAS (28-39),ATL (23-45),CHI (19-50),CLE (17-51),NYK (13-55),2019
"Mar 13, 2019",MIL (51-17),TOR (48-20),IND (43-25) T3,PHI (43-25) T3,BOS (41-27),BRK (36-34),DET (34-33),MIA (32-35),ORL (31-38),CHO (30-37),WAS (29-39),ATL (24-45),CHI (19-50),CLE (17-51),NYK (13-55),2019
"Mar 14, 2019",MIL (51-17),TOR (49-20),IND (44-25),PHI (43-25),BOS (42-27),BRK (36-34),DET (34-33),MIA (32-35),ORL (32-38),CHO (30-37),WAS (29-39),ATL (24-45),CHI (19-50),CLE (17-52),NYK (13-55),2019
"Mar 15, 2019",MIL (52-17),TOR (49-20),IND (44-25) T3,PHI (44-25) T3,BOS (42-27),DET (35-33),BRK (36-34),MIA (32-36),ORL (32-38),CHO (31-37),WAS (29-40),ATL (24-45),CHI (19-51),CLE (17-52),NYK (13-56),2019
"Mar 16, 2019",MIL (52-17),TOR (49-20),PHI (44-25),IND (44-26),BOS (43-27),DET (35-33),BRK (36-35),MIA (32-36),ORL (32-38),CHO (31-37),WAS (30-40),ATL (24-46),CHI (19-51),CLE (17-53),NYK (13-56),2019
"Mar 17, 2019",MIL (52-18),TOR (49-21),PHI (45-25),IND (44-26),BOS (43-27),DET (36-33),BRK (36-36),MIA (33-36),ORL (33-38),CHO (31-38),WAS (30-40),ATL (24-47),CHI (19-52),CLE (17-53),NYK (14-56),2019
"Mar 18, 2019",MIL (52-18),TOR (50-21),PHI (45-25),IND (44-27),BOS (43-28),DET (36-34),BRK (36-36),MIA (34-36),ORL (33-38),CHO (31-38),WAS (30-41),ATL (24-47),CHI (20-52),CLE (18-53),NYK (14-57),2019
"Mar 19, 2019",MIL (53-18),TOR (50-21),PHI (46-25),IND (44-28),BOS (43-28),DET (36-34),BRK (37-36),MIA (34-36),ORL (33-38),CHO (31-39),WAS (30-41),ATL (24-48),CHI (20-52),CLE (18-53),NYK (14-57),2019
"Mar 20, 2019",MIL (53-19),TOR (51-21),PHI (47-25),IND (44-28),BOS (43-29),DET (36-34),BRK (37-36),MIA (35-36),ORL (34-38),CHO (31-39),WAS (30-42),ATL (24-48),CHI (21-52),CLE (19-53),NYK (14-58),2019
"Mar 21, 2019",MIL (53-19),TOR (51-21),PHI (47-25),IND (44-29),BOS (43-29),DET (37-34),BRK (37-36),MIA (35-36),ORL (34-38),CHO (32-39),WAS (30-43),ATL (25-48),CHI (21-52),CLE (19-53),NYK (14-58),2019
"Mar 22, 2019",MIL (54-19),TOR (51-22),PHI (47-25),IND (44-29),BOS (43-29),DET (37-34),BRK (38-36),MIA (35-37),ORL (35-38),CHO (32-39),WAS (30-43),ATL (25-48),CHI (21-52),CLE (19-54),NYK (14-59),2019
"Mar 23, 2019",MIL (54-19),TOR (51-22),PHI (47-26),IND (44-29),BOS (43-30),DET (37-35),BRK (38-36),MIA (36-37),ORL (35-38),CHO (33-39),WAS (30-44),ATL (26-48),CHI (21-53),CLE (19-54),NYK (14-59),2019
"Mar 24, 2019",MIL (55-19),TOR (51-23),PHI (47-26),IND (45-29),BOS (43-31),BRK (38-36),DET (37-36),MIA (36-37),ORL (35-38),CHO (34-39),WAS (30-44),ATL (26-48),CHI (21-53),CLE (19-55),NYK (14-60),2019
"Mar 25, 2019",MIL (55-19),TOR (51-23),PHI (47-27),IND (45-29),BOS (43-31),DET (37-36),BRK (38-37),MIA (36-37),ORL (36-38),CHO (34-39),WAS (30-44),ATL (26-48),CHI (21-53),CLE (19-55),NYK (14-60),2019
"Mar 26, 2019",MIL (56-19),TOR (52-23),PHI (47-27),IND (45-29),BOS (44-31),BRK (38-37),DET (37-37),ORL (37-38),MIA (36-38),CHO (35-39),WAS (30-45),ATL (27-48),CHI (21-54),CLE (19-56),NYK (14-60),2019
"Mar 27, 2019",MIL (56-19),TOR (52-23),PHI (47-27),IND (45-30),BOS (44-31),BRK (38-37),DET (37-37),ORL (37-38),MIA (36-38),CHO (35-39),WAS (31-45),ATL (27-48),CHI (21-55),CLE (19-56),NYK (14-60),2019
"Mar 28, 2019",MIL (57-19),TOR (53-23),PHI (48-27),IND (45-30),BOS (44-31),DET (38-37),BRK (38-38),MIA (37-38),ORL (37-39),CHO (35-39),WAS (31-45),ATL (27-48),CHI (21-55),CLE (19-57),NYK (14-61),2019
"Mar 29, 2019",MIL (57-19),TOR (53-23),PHI (48-27),BOS (45-31) T4,IND (45-31) T4,DET (38-37),BRK (38-38),MIA (37-38),ORL (37-39),CHO (35-40),WAS (31-46),ATL (27-49),CHI (21-55),CLE (19-57),NYK (14-61),2019
"Mar 30, 2019",MIL (57-19),TOR (54-23),PHI (49-27),BOS (45-32) T4,IND (45-32) T4,DET (39-37),BRK (39-38),MIA (38-38),ORL (38-39),CHO (35-40),WAS (31-46),ATL (27-49),CHI (21-56),CLE (19-58),NYK (14-62),2019
"Mar 31, 2019",MIL (57-20),TOR (54-23),PHI (49-27),BOS (45-32) T4,IND (45-32) T4,DET (39-37),BRK (39-38),MIA (38-38),ORL (38-39),CHO (35-41),WAS (32-46),ATL (28-49),CHI (21-56),CLE (19-58),NYK (14-62),2019
"Apr 1, 2019",MIL (58-20),TOR (55-23),PHI (49-28),BOS (46-32) T4,IND (46-32) T4,DET (39-38),BRK (39-39),MIA (38-39),ORL (38-40),CHO (35-42),WAS (32-46),ATL (28-49),CHI (21-57),CLE (19-59),NYK (15-62),2019
"Apr 2, 2019",MIL (58-20),TOR (55-23),PHI (49-28),BOS (46-32) T4,IND (46-32) T4,DET (39-38),BRK (39-39),MIA (38-39),ORL (38-40),CHO (35-42),WAS (32-46),ATL (28-50),CHI (21-57),CLE (19-59),NYK (15-62),2019
"Apr 3, 2019",MIL (58-20),TOR (56-23),PHI (49-29),BOS (47-32) T4,IND (47-32) T4,DET (39-39),BRK (39-40) T7,ORL (39-40) T7,MIA (38-40),CHO (36-42),WAS (32-47),ATL (29-50),CHI (22-57),CLE (19-59),NYK (15-63),2019
"Apr 4, 2019",MIL (59-20),TOR (56-23),PHI (49-30),BOS (47-32) T4,IND (47-32) T4,DET (39-39),BRK (39-40) T7,ORL (39-40) T7,MIA (38-40),CHO (36-42),WAS (32-47),ATL (29-50),CHI (22-57),CLE (19-60),NYK (15-63),2019
"Apr 5, 2019",MIL (59-20),TOR (56-24),PHI (49-30),BOS (48-32),IND (47-33),ORL (40-40),BRK (39-40) T7,DET (39-40) T7,MIA (38-41),CHO (37-42),WAS (32-48),ATL (29-51),CHI (22-57),CLE (19-61),NYK (15-64),2019
"Apr 6, 2019",MIL (59-21),TOR (56-24),PHI (50-30),BOS (48-32),IND (47-33),BRK (40-40) T6,ORL (40-40) T6,DET (39-40),MIA (38-41),CHO (37-42),WAS (32-48),ATL (29-51),CHI (22-58),CLE (19-61),NYK (15-64),2019
"Apr 7, 2019",MIL (60-21),TOR (57-24),PHI (50-30),BOS (48-33),IND (47-34),BRK (41-40) T6,ORL (41-40) T6,DET (39-41),CHO (38-42) T9,MIA (38-42) T9,WAS (32-49),ATL (29-52),CHI (22-58),CLE (19-62),NYK (16-64),2019
"Apr 9, 2019",MIL (60-21),TOR (58-24),PHI (50-31),BOS (49-33),IND (47-34),BRK (41-40) T6,ORL (41-40) T6,DET (40-41),CHO (39-42) T9,MIA (39-42) T9,WAS (32-50),ATL (29-52),CHI (22-59),CLE (19-63),NYK (17-64),2019
"Apr 10, 2019",MIL (60-22),TOR (58-24),PHI (51-31),BOS (49-33),IND (48-34),BRK (42-40) T6,ORL (42-40) T6,DET (41-41),CHO (39-43) T9,MIA (39-43) T9,WAS (32-50),ATL (29-53),CHI (22-60),CLE (19-63),NYK (17-65),2019
"Dec 23, 2020",ATL (1-0) T1,BOS (1-0) T1,BRK (1-0) T1,CLE (1-0) T1,IND (1-0) T1,ORL (1-0) T1,PHI (1-0) T1,CHI (0-1) T8,CHO (0-1) T8,DET (0-1) T8,MIA (0-1) T8,MIL (0-1) T8,NYK (0-1) T8,TOR (0-1) T8,WAS (0-1) T8,2021
"Dec 25, 2020",BRK (2-0) T1,ATL (1-0) T1,CLE (1-0) T1,IND (1-0) T1,ORL (1-0) T1,PHI (1-0) T1,BOS (1-1) T7,MIA (1-1) T7,MIL (1-1) T7,CHI (0-1) T10,CHO (0-1) T10,DET (0-1) T10,NYK (0-1) T10,TOR (0-1) T10,WAS (0-1) T10,2021
"Dec 26, 2020",ATL (2-0) T1,BRK (2-0) T1,CLE (2-0) T1,IND (2-0) T1,ORL (2-0) T1,PHI (2-0) T1,BOS (1-1) T7,MIA (1-1) T7,MIL (1-1) T7,CHI (0-2) T10,CHO (0-2) T10,DET (0-2) T10,NYK (0-2) T10,TOR (0-2) T10,WAS (0-2) T10,2021
"Dec 27, 2020",CLE (3-0) T1,IND (3-0) T1,ORL (3-0) T1,ATL (2-0) T1,BRK (2-1) T5,PHI (2-1) T5,MIA (1-1),BOS (1-2) T8,CHO (1-2) T8,MIL (1-2) T8,NYK (1-2) T8,CHI (0-3) T12,DET (0-2) T12,TOR (0-2) T12,WAS (0-3) T12,2021
"Dec 28, 2020",ATL (3-0) T1,CLE (3-0) T1,IND (3-0) T1,ORL (3-0) T1,PHI (2-1),BRK (2-2) T6,MIA (1-1) T6,BOS (1-2) T8,CHO (1-2) T8,MIL (1-2) T8,NYK (1-2) T8,CHI (0-3) T12,DET (0-3) T12,TOR (0-2) T12,WAS (0-3) T12,2021
"Dec 29, 2020",ORL (4-0) T1,ATL (3-0) T1,CLE (3-1) T3,IND (3-1) T3,PHI (3-1) T3,BOS (2-2) T6,BRK (2-2) T6,MIL (2-2) T6,NYK (2-2) T6,CHO (1-2) T10,MIA (1-2) T10,CHI (1-3),DET (0-4) T13,TOR (0-3) T13,WAS (0-4) T13,2021
"Dec 30, 2020",ORL (4-0),ATL (3-1) T2,CLE (3-1) T2,IND (3-1) T2,PHI (3-1) T2,BOS (3-2) T6,BRK (3-2) T6,CHO (2-2) T8,MIA (2-2) T8,NYK (2-2) T8,MIL (2-3),CHI (1-3),DET (0-4) T13,TOR (0-3) T13,WAS (0-4) T13,2021
"Dec 31, 2020",IND (4-1) T1,ORL (4-1) T1,PHI (4-1) T1,ATL (3-1),BOS (3-2) T5,BRK (3-2) T5,CLE (3-2) T5,CHO (2-2) T8,MIA (2-2) T8,CHI (2-3) T10,MIL (2-3) T10,NYK (2-3) T10,TOR (1-3),DET (0-4) T14,WAS (0-5) T14,2021
"Jan 1, 2021",ATL (4-1) T1,IND (4-1) T1,ORL (4-1) T1,PHI (4-1) T1,CLE (3-2),BOS (3-3) T6,BRK (3-3) T6,MIL (3-3) T6,CHO (2-3) T9,MIA (2-3) T9,NYK (2-3) T9,CHI (2-4),TOR (1-3),DET (1-4),WAS (1-5),2021
"Jan 2, 2021",PHI (5-1),ATL (4-2) T2,CLE (4-2) T2,IND (4-2) T2,ORL (4-2) T2,BOS (3-3) T6,BRK (3-3) T6,MIL (3-3) T6,NYK (3-3) T6,MIA (2-3),CHI (2-4) T11,CHO (2-4) T11,DET (1-4) T13,TOR (1-4) T13,WAS (1-5),2021
